loan_id,member_id,item_id,checked_out,due,returned,notes
L-1001,RC-0142,EQ-0101,2027-03-02,2027-03-09,2027-03-08,"First print, came back clean"
L-1002,RC-0143,EQ-0140,2027-03-02,2027-03-04,2027-03-04,
L-1003,rc-0151,EQ-0120,2027-03-03,2027-03-17,2027-03-16,
L-1004,RC-0158,EQ-0130,2027-03-03,2027-03-06,2027-03-09,"Returned late, battery flat"
L-1005,RC-0160,EQ-0150,2027-03-04,2027-03-14,2027-03-13,
L-1006,RC-0166,EQ-0132,03/05/2027,03/08/2027,03/08/2027,"Dates typed by the Friday volunteer"
L-1007,RC-0171,EQ-0115,2027-03-05,2027-03-12,,Still out
L-1008,RC-0174,EQ-0122,2027-03-08,2027-03-22,2027-03-20,
L-1009,RC-0180,EQ-0131,2027-03-09,2027-03-12,2027-03-15,"Late. The volunteer wrote ""needs a new windscreen"" on the tag"
L-1010,RC-0181,EQ-0102,2027-03-09,2027-03-16,2027-03-16,
L-1011,RC-0188,EQ-0141,2027-03-10,2027-03-12,2027-03-11,
L-1012,RC-0190,EQ-0110,2027-03-10,2027-03-15,2027-03-15,
loan_id,member_id,item_id,checked_out,due,returned,notes
L-1013,RC-0142,EQ-0130,2027-03-11,2027-03-14,2027-03-14,
L-1014, RC-0143 ,EQ-0101,2027-03-12,2027-03-19,2027-03-18,Second print

L-1015,RC-0151,EQ-0140,2027-03-15,2027-03-17,2027-03-17,
L-1016,RC-0193,EQ-0132,2027-03-16,2027-03-19,2027-03-19,
L-1017,RC-0166,EQ-0110,2027-03-16,2027-03-21,2027-03-24,Late; the resin tank needed cleaning
L-1018,RC-0199,EQ-0120,2027-03-17,2027-03-31,2027-03-30,The member id is not in the kiosk export
L-1019,RC-0160,EQ-0199,2027-03-18,2027-03-28,2027-03-27,The item id is not in the catalog
L-1020,RC-0174,EQ-0150,2027-03-18,2027-03-28,,Still out
L-1021,RC-0180,EQ-0141,2027-03-22,2027-03-24,still out,The date column has a word in it
L-1022,RC-0188,EQ-0122,2027-03-22,2027-04-05,2027-04-03,
L-1023,RC0142,EQ-0115,2027-03-23,2027-03-30,2027-03-29,Id typed without the hyphen
L-1024,RC-0190,EQ-0101,2027-03-24,2027-03-31,2027-03-30,
L-1025,RC-0158,EQ-0102,2027-03-25,2027-04-01,2027-03-31,
L-1026,RC-0171,EQ-0131,2027-03-29,2027-04-01,2027-04-01,
L-1027,RC-0143,EQ-0130,2027-03-30,2027-04-02,2027-04-02,
L-1027,RC-0143,EQ-0130,2027-03-30,2027-04-02,2027-04-06,Same loan id as the row above with a different return date
L-1028,RC-0181,EQ-0150,2027-04-05,2027-04-15,,Still out
L-1029,RC-0166,EQ-0141,2027-04-06,2027-04-08,2027-04-08,
L-1030,RC-0151,EQ-0110,2027-04-07,2027-04-12,2027-04-20,Late
L-1031,RC-0193,EQ-0140,2027-04-12,2027-04-14,2027-04-13,
L-1032,RC-0142,EQ-0122,2027-04-13,2027-04-27,,Still out
L-1033,RC-0188,EQ-0132,2027-04-19,2027-04-22,2027-04-22,
L-1034,RC-0174,EQ-0102,2027-04-20,2027-04-27,,Still out
L-1035,RC-0180,EQ-0101,2027-04-26,2027-05-03,,Still out and not yet due
L-1036,RC-0160,EQ-0130,2027-04-27,2027-04-30,,Still out and due today
L-1037,RC-0171,EQ-0120,2027-04-15,2027-04-01,2027-04-20,The due date is before the checkout date
L-1039,RC-0181,EQ-0131,2027-04-19,2027-04-22,2027-04-12,The return date is before the checkout date
