ticket_id,night,ticket_type,price_cents,refunded
T-0287,2027-11-14,adult,1200,
T-0272,2027-11-14,adult,1200,
T-0100,2027-11-12,senior,1000,
T-0162,2027-11-13,student,800,
T-0129,2027-11-13,student,800,
T-0180,2027-11-13,adult,1200,
T-0041,2027-11-12,student,800,
T-0027,2027-11-12,student,800,
T-0216,2027-11-13,adult,1200,
T-0034,2027-11-12,student,800,
T-0090,2027-11-12,adult,1200,
T-0016,2027-11-12,student,800,
T-0237,2027-11-13,adult,1200,
T-0206,2027-11-13,adult,1200,
T-0150,2027-11-13,student,800,
T-0248,2027-11-13,senior,1000,
T-0264,2027-11-14,student,800,
T-0054,2027-11-12,adult,1200,
T-0045,2027-11-12,adult,1200,
T-0087,2027-11-12,adult,1200,
T-0252,2027-11-13,senior,1000,
T-0144,2027-11-13,student,800,
T-0001,2027-11-12,student,800,
T-0114,2027-11-12,comp,0,
T-0166,2027-11-13,student,800,
T-0178,2027-11-13,adult,1200,
T-0009,2027-11-12,student,800,
T-0125,2027-11-13,student,800,
T-0015,2027-11-12,student,800,
T-0283,2027-11-14,adult,1200,
T-0238,2027-11-13,senior,1000,
T-0140,2027-11-13,student,800,
T-0257,2027-11-14,student,800,
T-0249,2027-11-13,senior,1000,
T-0279,2027-11-14,adult,1200,
T-0096,2027-11-12,senior,1000,
T-0056,2027-11-12,adult,1200,
T-0270,2027-11-14,student,800,
T-0120,2027-11-13,student,800,
T-0194,2027-11-13,adult,1200,
T-0186,2027-11-13,adult,1200,
T-0110,2027-11-12,comp,0,
T-0095,2027-11-12,senior,1000,
T-0025,2027-11-12,student,800,
T-0134,2027-11-13,student,800,
T-0227,2027-11-13,adult,1200,
T-0240,2027-11-13,senior,1000,
T-0147,2027-11-13,student,800,
T-0002,2027-11-12,student,800,
T-0088,2027-11-12,adult,1200,
T-0183,2027-11-13,adult,1200,
T-0293,2027-11-14,senior,1000,
T-0102,2027-11-12,senior,1000,
T-0278,2027-11-14,adult,1200,
T-0018,2027-11-12,student,800,
T-0258,2027-11-14,student,800,
T-0123,2027-11-13,student,800,
T-0124,2027-11-13,student,800,
T-0169,2027-11-13,student,800,
T-0263,2027-11-14,student,800,
T-0165,2027-11-13,student,800,
T-0037,2027-11-12,student,800,
T-0300,2027-11-14,senior,1000,
T-0063,2027-11-12,adult,1200,
T-0217,2027-11-13,adult,1200,
T-0232,2027-11-13,adult,1200,
T-0271,2027-11-14,adult,1200,
T-0159,2027-11-13,student,800,
T-0006,2027-11-12,student,800,
T-0117,2027-11-13,student,800,
T-0161,2027-11-13,student,800,
T-0210,2027-11-13,adult,1200,
T-0301,2027-11-14,senior,1000,
T-0149,2027-11-13,student,800,
T-0130,2027-11-13,student,800,
T-0035,2027-11-12,student,800,
T-0241,2027-11-13,senior,1000,
T-0082,2027-11-12,adult,1200,
T-0143,2027-11-13,student,800,
T-0068,2027-11-12,adult,1200,
T-0208,2027-11-13,adult,1200,
T-0158,2027-11-13,student,800,
T-0255,2027-11-14,student,800,
T-0052,2027-11-12,adult,1200,
T-0066,2027-11-12,adult,1200,
T-0105,2027-11-12,senior,1000,
T-0201,2027-11-13,adult,1200,
T-0029,2027-11-12,student,800,
T-0003,2027-11-12,student,800,
T-0173,2027-11-13,adult,1200,
T-0023,2027-11-12,student,800,
T-0266,2027-11-14,student,800,
T-0179,2027-11-13,adult,1200,
T-0042,2027-11-12,student,800,
T-0286,2027-11-14,adult,1200,
T-0053,2027-11-12,adult,1200,
T-0213,2027-11-13,adult,1200,
T-0081,2027-11-12,adult,1200,
T-0135,2027-11-13,student,800,
T-0228,2027-11-13,adult,1200,
T-0261,2027-11-14,student,800,
T-0069,2027-11-12,adult,1200,
T-0177,2027-11-13,adult,1200,
T-0157,2027-11-13,student,800,
T-0307,2027-11-14,comp,0,
T-0007,2027-11-12,student,800,
T-0049,2027-11-12,adult,1200,
T-0200,2027-11-13,adult,1200,
T-0138,2027-11-13,student,800,
T-0274,2027-11-14,adult,1200,
T-0195,2027-11-13,adult,1200,
T-0148,2027-11-13,student,800,
T-0281,2027-11-14,adult,1200,
T-0285,2027-11-14,adult,1200,
T-0122,2027-11-13,student,800,
T-0260,2027-11-14,student,800,
T-0024,2027-11-12,student,800,
T-0311,2027-11-14,comp,0,
T-0269,2027-11-14,student,800,
T-0211,2027-11-13,adult,1200,
T-0295,2027-11-14,senior,1000,
T-0174,2027-11-13,adult,1200,
T-0282,2027-11-14,adult,1200,
T-0013,2027-11-12,student,800,
T-0294,2027-11-14,senior,1000,
T-0250,2027-11-13,senior,1000,
T-0089,2027-11-12,adult,1200,
T-0126,2027-11-13,student,800,
T-0104,2027-11-12,senior,1000,
T-0078,2027-11-12,adult,1200,
T-0107,2027-11-12,comp,0,
T-0247,2027-11-13,senior,1000,
T-0167,2027-11-13,student,800,
T-0060,2027-11-12,adult,1200,
T-0189,2027-11-13,adult,1200,
T-0067,2027-11-12,adult,1200,
T-0039,2027-11-12,student,800,
T-0073,2027-11-12,adult,1200,
T-0079,2027-11-12,adult,1200,
T-0251,2027-11-13,senior,1000,
T-0220,2027-11-13,adult,1200,
T-0268,2027-11-14,student,800,
T-0131,2027-11-13,student,800,
T-0234,2027-11-13,adult,1200,
T-0019,2027-11-12,student,800,
T-0204,2027-11-13,adult,1200,
T-0153,2027-11-13,student,800,
T-0133,2027-11-13,student,800,
T-0292,2027-11-14,senior,1000,
T-0152,2027-11-13,student,800,
T-0297,2027-11-14,senior,1000,
T-0151,2027-11-13,student,800,
T-0239,2027-11-13,senior,1000,
T-0229,2027-11-13,adult,1200,
T-0091,2027-11-12,adult,1200,
T-0256,2027-11-14,student,800,
T-0277,2027-11-14,adult,1200,
T-0101,2027-11-12,senior,1000,
T-0299,2027-11-14,senior,1000,
T-0235,2027-11-13,adult,1200,
T-0050,2027-11-12,adult,1200,
T-0214,2027-11-13,adult,1200,
T-0115,2027-11-13,student,800,
T-0291,2027-11-14,adult,1200,
T-0099,2027-11-12,senior,1000,
T-0059,2027-11-12,adult,1200,
T-0032,2027-11-12,student,800,
T-0085,2027-11-12,adult,1200,
T-0127,2027-11-13,student,800,
T-0040,2027-11-12,student,800,
T-0190,2027-11-13,adult,1200,
T-0305,2027-11-14,senior,1000,
T-0141,2027-11-13,student,800,
T-0061,2027-11-12,adult,1200,
